268,38,3,1,"[277, 283, 313]"
270,202,3,1,"[277, 307, 313]"
41,164,3,2,"[281, 283, 271]"
106,265,3,2,"[281, 283, 277]"
118,20,3,1,"[281, 311, 283]"
206,174,3,1,"[281, 257, 241]"
223,9,3,1,"[281, 271, 257]"
225,86,3,1,"[281, 283, 271]"
225,264,3,2,"[281, 271, 283]"
261,114,3,1,"[281, 271, 269]"
16,168,3,1,"[283, 271, 257]"
26,132,3,1,"[283, 251, 229]"
46,199,4,3,"[283, 307, 331, 313]"
47,227,3,2,"[283, 277, 251]"
59,166,3,1,"[283, 277, 257]"
67,157,3,2,"[283, 277, 271]"
124,276,3,1,"[283, 293, 311]"
158,56,3,2,"[283, 281, 311]"
175,13,3,1,"[283, 269, 263]"
179,141,3,3,"[283, 271, 277]"
182,153,3,1,"[283, 263, 241]"
189,205,3,1,"[283, 251, 257]"
226,36,3,2,"[283, 277, 281]"
261,12,3,2,"[283, 311, 293]"
270,117,3,1,"[283, 307, 293]"
25,155,3,2,"[293, 283, 269]"
31,190,3,1,"[293, 317, 311]"
45,60,3,2,"[293, 281, 277]"
83,39,3,3,"[293, 271, 277]"
161,211,3,1,"[293, 311, 307]"
202,226,3,1,"[293, 313, 307]"
252,182,3,1,"[293, 313, 317]"
4,34,3,1,"[307, 317, 331]"
41,176,3,3,"[307, 331, 337]"
46,199,3,3,"[307, 331, 313]"
67,131,3,2,"[307, 281, 269]"
139,162,3,1,"[307, 317, 331]"
139,217,3,1,"[307, 281, 257]"
222,161,4,2,"[307, 277, 293, 317]"
263,6,3,3,"[307, 331, 317]"
280,271,3,1,"[307, 331, 313]"
283,81,4,2,"[307, 313, 311, 293]"
207,125,3,1,"[311, 283, 307]"
212,231,3,2,"[311, 313, 317]"
230,272,3,1,"[311, 281, 277]"
297,308,3,2,"[311, 331, 353]"
40,84,3,1,"[313, 311, 317]"
40,123,3,1,"[313, 331, 317]"
46,88,3,1,"[313, 293, 317]"
46,199,3,3,"[313, 307, 331]"
64,194,3,2,"[313, 307, 331]"
84,211,3,2,"[313, 283, 281]"
122,43,3,2,"[313, 331, 307]"
129,270,3,1,"[313, 331, 337]"
152,87,3,1,"[313, 331, 349]"
196,306,3,1,"[313, 331, 349]"
248,35,3,1,"[313, 283, 269]"
283,81,3,2,"[313, 311, 293]"
292,124,3,2,"[313, 331, 347]"
2,260,3,1,"[317, 331, 307]"
29,276,3,1,"[317, 311, 331]"
43,257,3,2,"[317, 347, 353]"
44,66,3,1,"[317, 331, 347]"
74,262,3,2,"[317, 331, 353]"
89,170,3,2,"[317, 331, 349]"
114,137,3,2,"[317, 307, 313]"
133,230,3,1,"[317, 283, 271]"
136,109,3,1,"[317, 349, 313]"
153,68,3,1,"[317, 307, 313]"
165,35,3,1,"[317, 331, 313]"
217,52,3,1,"[317, 347, 337]"
256,240,3,2,"[317, 347, 353]"
263,6,3,3,"[317, 307, 331]"
275,233,3,2,"[317, 293, 277]"
40,158,3,2,"[331, 313, 293]"
41,176,3,3,"[331, 337, 307]"
46,199,3,3,"[331, 313, 307]"
48,235,3,1,"[331, 317, 283]"
61,111,3,1,"[331, 349, 337]"
67,131,4,2,"[331, 307, 281, 269]"
72,221,3,2,"[331, 307, 311]"
120,29,3,3,"[331, 349, 337]"
124,56,3,2,"[331, 313, 293]"
230,134,3,1,"[331, 349, 337]"
263,6,3,3,"[331, 317, 307]"
279,189,3,2,"[331, 313, 293]"
301,65,3,2,"[331, 337, 349]"
41,176,3,3,"[337, 307, 331]"
90,210,3,1,"[337, 307, 331]"
120,29,3,3,"[337, 331, 349]"
158,56,3,2,"[337, 311, 281]"
204,111,3,1,"[337, 313, 317]"
225,114,3,1,"[337, 331, 353]"
241,49,3,2,"[337, 331, 307]"
48,197,3,2,"[347, 317, 337]"
139,37,3,2,"[347, 331, 353]"
253,135,3,2,"[347, 331, 313]"
259,143,3,1,"[347, 331, 349]"
9,98,3,2,"[349, 331, 313]"
77,194,3,1,"[349, 331, 313]"
120,29,3,3,"[349, 337, 331]"
207,306,3,1,"[349, 317, 311]"
219,9,3,1,"[349, 331, 313]"
274,102,3,2,"[349, 331, 307]"
309,267,3,2,"[349, 337, 331]"
43,96,3,2,"[353, 347, 337]"
81,196,3,1,"[353, 347, 349]"
87,3,3,2,"[353, 337, 347]"
233,84,3,2,"[353, 349, 331]"
314,316,3,2,"[353, 331, 347]"
