169,235,271,283
174,183,271,283
185,38,271,283
185,229,271,283
193,215,271,293
199,151,271,283
202,93,271,281
224,71,271,283
225,264,271,283
235,170,271,283
241,201,271,277
246,110,271,277
256,25,271,283
264,160,271,277
5,63,277,283
5,237,277,281
14,235,277,281
15,149,277,281
16,229,277,281
42,216,277,281
45,60,277,281
66,90,277,293
82,168,277,281
85,3,277,281
87,25,277,283
100,31,277,283
106,265,277,283
115,191,277,281
126,28,277,283
146,48,277,283
151,27,277,281
154,100,277,281
166,130,277,281
170,74,277,293
195,247,277,293
216,5,277,293
216,32,277,281
217,22,277,283
223,210,277,283
226,36,277,281
230,156,277,281
239,73,277,281
243,31,277,283
244,34,277,281
246,202,277,283
247,70,277,293
250,138,277,283
258,145,277,283
275,233,277,293
21,80,281,307
58,166,281,307
70,270,281,293
84,211,281,283
93,143,281,307
123,191,281,283
128,137,281,283
132,119,281,283
154,95,281,311
158,56,281,311
173,166,281,283
183,185,281,307
187,186,281,307
189,40,281,283
194,242,281,283
261,146,281,293
4,108,283,293
25,280,283,307
64,120,283,293
85,143,283,307
131,131,283,293
150,126,283,311
199,101,283,307
220,250,283,313
250,55,283,313
263,166,283,311
1,220,293,313
37,178,293,313
40,158,293,313
57,83,293,313
81,109,293,313
121,193,293,313
124,56,293,313
148,172,293,313
149,23,293,317
151,171,293,313
208,9,293,313
214,160,293,313
222,161,293,317
235,184,293,313
244,56,293,313
247,88,293,313
254,82,293,313
261,12,293,311
279,189,293,313
283,81,293,311
4,303,307,331
5,88,307,337
8,75,307,331
25,171,307,331
29,70,307,331
39,85,307,331
39,154,307,317
47,108,307,313
53,158,307,317
54,16,307,331
64,194,307,331
68,109,307,317
72,221,307,311
80,183,307,311
98,65,307,311
102,66,307,313
106,190,307,337
108,60,307,331
110,287,307,331
114,137,307,313
116,255,307,337
118,291,307,313
121,217,307,313
122,43,307,331
124,128,307,317
128,237,307,313
135,194,307,317
143,229,307,331
155,271,307,331
169,254,307,337
171,271,307,331
176,173,307,317
183,78,307,313
184,208,307,313
185,127,307,337
190,22,307,331
190,48,307,331
205,147,307,337
211,228,307,313
215,30,307,331
215,222,307,331
217,199,307,331
233,104,307,331
241,49,307,331
250,37,307,331
256,290,307,331
262,159,307,317
265,70,307,311
267,208,307,337
270,196,307,337
274,102,307,331
279,114,307,331
282,249,307,331
283,299,307,331
286,239,307,317
290,105,307,331
293,27,307,331
300,129,307,331
305,108,307,331
7,216,311,317
12,169,311,337
24,240,311,317
28,108,311,337
